ID Posla;Šifra KO;Ime KO;Občina;Parcelna številka;Vrsta zemljišča;Vrsta trajnega nasada;Starost trajnega nasada;Prodani delež parcele;Opombe o nepremičnini;Površina parcele;Pogodbena cena parcele;Stopnja DDV parcele
-519154;1167;NEGONJE;ROGAŠKA SLATINA;295/12;6;;;369/1000;;744;;
-519154;1167;NEGONJE;ROGAŠKA SLATINA;295/13;6;;;369/1000;;2774;;
-519154;1167;NEGONJE;ROGAŠKA SLATINA;295/11;10;;;1/1;Obe navedenei nepremičnini predstavljajo skupaj z obema posameznima deloma stavbe trgovino s pomožnimi prostori v skupni izmeri 1219,18 m2, razkladalno rampo v skupni izmeri 219 m2 ter vhod in nadstrešek na vhodu v skupni izmeri 136 m2.;136;;
-519154;1167;NEGONJE;ROGAŠKA SLATINA;295/5;10;;;1/1;Obe navedenei nepremičnini predstavljajo skupaj z obema posameznima deloma stavbe trgovino s pomožnimi prostori v skupni izmeri 1219,18 m2, razkladalno rampo v skupni izmeri 219 m2 ter vhod in nadstrešek na vhodu v skupni izmeri 136 m2.;219;;
-519150;2140;PODREČA;KRANJ;140/5;3;;;1/1;;1000;;
-519121;2595;ŠKOFIJE;KOPER;793/4;3;;;1/1;;2372;;
-519121;2595;ŠKOFIJE;KOPER;793/5;7;;;1/1;;1463;;
-519117;2592;JERNEJ;KOPER;1158/2;5;;;1/1;;160;;
-519111;1708;GOLO;IG;575/4;8;;;1/1;;138;;
-519101;1754;ŠENTVID NAD LJUBLJANO;LJUBLJANA;516;3;;;1/1;;523;;
-519095;680;TEZNO;MARIBOR;1611;2;;;1/2;;297;;
-519092;1734;JEŽICA;LJUBLJANA;966/6;10;;;1/24;DVOSOBNO STANOVANJE;58;;
-519092;1734;JEŽICA;LJUBLJANA;966/3;10;;;1/24;DVOSOBNO STANOVANJE;30;;
-519092;1734;JEŽICA;LJUBLJANA;966/7;10;;;3/12;DVOSOBNO STANOVANJE;30;;
-519092;1734;JEŽICA;LJUBLJANA;966/2;10;;;3/12;DVOSOBNO STANOVANJE;197;;
-519091;1724;BREZOVICA;BREZOVICA;2198/3;7;;;1/1;;1985;;
-519090;1089;RESNIK;ZREČE;245/96;3;;;1/1;;115;;
-519090;1089;RESNIK;ZREČE;245/14;3;;;1/1;;259;;
