ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
415924;1;11.02.2020;04.12.2018;80000;0;;;;;;11.02.2020;11.02.2020;1;5
427534;1;13.02.2020;15.03.2019;180000;0;;;;;;13.02.2020;13.02.2020;1;5
453803;1;14.01.2020;28.02.2018;275000;1;3;;;;;14.01.2020;14.01.2020;1;5
456327;1;13.12.2019;05.11.2019;501647,62;1;5;;;;;02.10.2020;02.10.2020;1;5
456335;1;27.01.2020;24.12.2018;47200;1;3;;;;;27.01.2020;27.01.2020;1;5
476263;1;04.01.2020;04.11.2019;73400;1;3;;;;;09.01.2020;04.01.2020;1;5
476321;1;07.01.2020;21.11.2019;46117,86;1;4;;;;;09.01.2020;07.01.2020;1;5
476322;1;07.01.2020;24.04.2019;227000;1;3;;;;;03.11.2021;07.01.2020;1;5
476326;1;07.01.2020;14.10.2019;99000;1;3;;;;;03.11.2021;07.01.2020;1;5
476343;1;07.01.2020;07.08.2019;158000;1;3;;;;;03.11.2021;07.01.2020;1;5
476377;1;19.02.2020;12.04.2018;153305,75;1;3;;;;;19.02.2020;19.02.2020;1;5
476383;1;08.01.2020;06.12.2019;34160;1;4;;;;;09.01.2020;08.01.2020;1;5
476454;1;08.01.2020;17.10.2019;2303,2;1;4;;;;;09.01.2020;08.01.2020;1;5
476455;1;08.01.2020;09.10.2019;1280;1;4;;;;;09.01.2020;08.01.2020;1;5
476510;1;10.01.2020;08.07.2019;16000;0;;;;;;10.01.2020;10.01.2020;1;5
476514;1;10.01.2020;04.07.2019;8000;0;;;;;;10.01.2020;10.01.2020;1;5
476515;1;10.01.2020;17.08.2019;4000;0;;;;;;10.01.2020;10.01.2020;1;5
476569;1;10.01.2020;24.10.2019;70000;0;;;;;;10.01.2020;10.01.2020;1;5
476572;1;10.01.2020;06.11.2019;2500;0;;;;;;10.01.2020;10.01.2020;1;5
476574;1;10.01.2020;12.09.2019;3650;0;;;;;;10.01.2020;10.01.2020;1;5
476587;1;10.01.2020;06.11.2019;5000;0;;;;;;10.01.2020;10.01.2020;1;5
476590;1;10.01.2020;05.11.2019;21000;0;;;;;;10.01.2020;10.01.2020;1;5
476595;1;10.01.2020;07.11.2019;25000;0;;;;;;10.01.2020;10.01.2020;1;5
476602;1;10.01.2020;11.11.2019;17920;0;;;;;;10.01.2020;10.01.2020;1;5
476603;1;10.01.2020;02.10.2019;10000;0;;;;;;10.01.2020;10.01.2020;1;5
