ID Posla;Vrsta najemnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena najemnina;Vključenost obratovalnih stroškov v najemnino;Vključenost DDV;Stopnja DDV;Datum začetka najema;Datum prenehanja najema;Čas najema;Trajanje najema;Datum zaključka najema /Datum predčasne prekinitve najema;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
97139;5;26.02.2014;01.10.1992;149,1;1;0;;01.01.2002;;2;;24.01.2019;Razlog predčasnega zaključka : najemnik je umrlRazlog predčasnega zaključka : odpoved dana s strani najemnika;;28.01.2019;28.01.2019;1;4
261756;1;05.11.2019;01.03.2016;150;0;0;;01.03.2016;;2;;;;;14.02.2020;05.11.2019;1;5
313706;1;22.08.2019;18.08.2016;50;1;0;;18.08.2016;;2;;30.04.2017;Coworking, pogodba o pomoči (1-mesečni brezplačni najem).Razlog predcasnega zakljucka : Sporazumna prekinitev pogodbe o najemu PP.;;14.02.2020;22.08.2019;1;5
342446;1;19.09.2019;31.07.2017;1160,75;0;0;;01.08.2017;02.12.2022;1;65;;;;14.02.2020;19.09.2019;1;5
372794;1;03.04.2019;27.03.2018;276;0;1;4;01.04.2018;30.03.2019;1;12;30.03.2019;;0;30.07.2019;03.04.2019;1;4
389759;1;31.08.2018;13.08.2018;150;0;0;;27.08.2018;27.08.2021;1;36;27.08.2021;;;28.08.2021;07.02.2019;1;4
404740;2;26.11.2019;30.11.2017;825;1;0;;01.12.2017;31.10.2018;1;11;31.10.2018;;;14.02.2020;26.11.2019;1;5
407853;1;03.01.2019;06.12.2017;563,42;1;0;;05.01.2018;06.12.2019;1;24;06.12.2019;stroški vključeni v najemnino (najem 7,5€/m2, stroški 3,5€/m2);0;07.12.2019;03.01.2019;1;4
407889;1;02.01.2019;01.01.2019;150;0;0;;01.01.2019;30.06.2019;1;6;30.06.2019;;0;30.07.2019;02.01.2019;1;4
407934;1;03.01.2019;30.10.2018;488;0;1;4;01.11.2018;30.04.2019;1;6;30.04.2019;;0;30.07.2019;03.01.2019;1;4
407956;1;03.01.2019;28.12.2018;20,33;0;1;4;01.01.2019;31.12.2019;1;12;31.12.2019;;0;01.01.2020;03.01.2019;1;4
408017;4;04.01.2019;04.12.2018;139,76;0;0;;04.12.2018;;2;;;;;30.07.2019;04.01.2019;1;4
408023;4;04.01.2019;10.12.2018;106,3;0;0;;10.12.2018;;2;;;;;30.07.2019;04.01.2019;1;4
408025;4;04.01.2019;12.12.2018;146,06;0;0;;12.12.2018;;2;;;;;30.07.2019;04.01.2019;1;4
