ID Posla;Šifra KO;Ime KO;Občina;Številka stavbe;Številka dela stavbe;Interna oznaka oddanih prostorov;Naselje;Ulica;Hišna številka;Dodatek HŠ;Številka stanovanja ali poslovnega prostora;Vrsta oddanih prostorov;Opremljenost oddanih prostorov;Mikrolokacija oddanih prostorov;Izložba;Nakupovalni center;Površina oddanih prostorov;Površina oddanih prostorov enaka delu stavbe;Pogodbena najemnina posameznih oddanih prostorov;Opombe o oddanih prostorih;Leto izgradnje stavbe;Dejanska raba dela stavbe;Lega dela stavbe v stavbi;Število sob;Površina dela stavbe;Uporabna površina dela stavbe;Prostori dela stavbe;Uporabna površina oddanih prostorov;Gostinski vrt;Vključenost gostinskega vrta v najemnino;Površina gostinskega vrta
293547;1300;BREŽICE;BREŽICE;309;4;;BREŽICE;GREGORČIČEVA ULICA;20;;4;2;0;;;;65,14;;;;1955;1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi;pritličje;1;79,8;57,3; bivalni prostor | klet | odprta terasa, balkon, loža;;;;
343183;2605;KOPER;KOPER;2056;44;L33A;KOPER;ANKARANSKA CESTA;2;;;8;0;2;;;21,57;;;prostor z oznako Gurs 44;2010;1230101 - Nakupovalni center;;;;;-;;;;
320400;2605;KOPER;KOPER;2056;32;L39;KOPER;ANKARANSKA CESTA;2;;32;8;0;2;;;335,36;;;;2010;1230101 - Nakupovalni center;pritličje;;335,4;335,4; lokal, prodajalna;;;;
319401;2605;KOPER;KOPER;2056;3;L;KOPER;ANKARANSKA CESTA;2;;3;8;0;2;;;9,22;;;;2010;1230101 - Nakupovalni center;pritličje;;9,2;9,2; lokal, prodajalna;;;;
319528;2605;KOPER;KOPER;2056;43;L22;KOPER;ANKARANSKA CESTA;2;;43;8;0;2;;;1312,87;;;;2010;1230101 - Nakupovalni center;pritličje;;1361,7;958,1; lokal, prodajalna | proizvodni in skladiščni prostor;;;;
319683;2605;KOPER;KOPER;2056;78;;KOPER;ANKARANSKA CESTA;2;;78;10;0;;;;567,8;;;;2010;26 - Športna dvorana;nadstropje;;558,5;513,3; poslovni prostor | skupne sanitarije;;;;
369331;2605;KOPER;KOPER;2056;5;L03;Koper;Ankaranska cesta;2;;5;6;0;2;;;72,94;;;;2010;1230101 - Nakupovalni center;pritličje;;72,9;72,9; lokal, prodajalna;;;;
369332;2605;KOPER;KOPER;2056;75;U04;KOPER;ANKARANSKA CESTA;2;;75;8;0;3;;;215;;;;2010;1220201 - Banka, pošta, zavarovalnica;nadstropje;;215;215; lokal, prodajalna;;;;
376790;2605;KOPER;KOPER;2160;8;2.2;;;;;;7;0;3;;;146,7;;;;2017;;nadstropje;;160,5;111,9; poslovni prostor | skupni komunikacijski prostor | tehnični prostor;146,7;;;
33270;2344;CERKNO;CERKNO;288;2;;Cerkno;Pot na Zavrte;26; ;2;6;0;2;;;25;0;;;1950;1220201 - Banka, pošta, zavarovalnica;pritličje;;31,4;31,4; poslovni prostor;25;;;
