ID;Numerična vrednost;Opis
3;1;Zemljišče na katerem je mogoče graditi stavbo in ima gradbeno dovoljenje
3;2;Zemljišče, na katerem je mogoče graditi stavbo in je komunalno opremljeno (priključki na vodo, elektriko in neposredni dostop do dovozne poti)
3;3;Zemljišče, na katerem je ali bo mogoče graditi stavbo in je delno komunalno opremljeno ali komunalno neopremljeno
3;4;Zemljišče, na katerem je ali bo mogoče graditi prometno ali energetsko infrastrukturo (cesta, plinovod in drugo)
3;5;Zemljišče pod stavbo ali drugo stavbi ali delu stavbe pripadajoče zemljišče (zemljišče pod stavbo, dvorišče, dovozna pot, vrt, zelenica, stanovanjski atrij in podobno)
3;6;Zemljišče, na katerem je cesta ali parkirišče
3;7;Zemljišče za kmetijsko rabo (njiva, travnik, pašnik) 
3;8;Zemljišče za kmetijsko rabo, na katerem je trajni nasad
3;9;Zemljišče za gozdno rabo (gozd)
3;10;Neplodno ali vodno zemljišče ali drugo neuporabno zemljišče
5;1;I. gradbena faza
5;2;II. gradbena faza
5;3;III. gradbena faza
5;4;III. podaljšana faza
5;5;IV. gradbena faza
5;6;V. gradbena faza
6;1;Stanovanjska hiša
6;2;Stanovanje
6;3;Parkirni prostor
6;4;Garaža
6;5;Pisarniški prostori
6;6;Prostori za poslovanje s strankami
6;7;Prostori za zdravstveno dejavnost
6;8;Trgovski ali storitveni lokal
6;9;Gostinski lokal
6;10;Prostori za šport, kulturo ali izobraževanje
6;11;Industrijski prostori
6;12;Turistični nastanitveni objekt
6;13;Kmetijski objekt
6;14;Tehnični ali pomožni prostori
6;15;Drugo
7;1;Fizična oseba
7;2;Samostojni podjetnik ali fizicna oseba, ki samostojno opravlja dejavnost
7;3;Gospodarska družba
7;4;Državni organ
7;5;Samoupravna lokalna skupnost
7;6;Drugo
13;1;Prvo pogodbena stranka
13;2;Drugo pogodbena stranka
14;1;Slovenija
14;2;NERAZVRŠČENO
14;3;Avstrija
14;4;Belgija
14;5;Bosna in Hercegovina
14;6;Češka republika
14;7;Črna Gora
14;8;Danska
14;9;Finska
14;10;Francija
14;11;Grčija
14;12;Hrvaška
14;13;Italija
14;14;Madžarska
14;15;Makedonija, Nekdanja jugoslovanska republika
14;16;Nemčija
14;17;Ruska federacija
14;18;Srbija
14;19;Švica
14;20;Združene države
14;21;Združeno kraljestvo
14;22;Afganistan
14;23;Alandski otoki
14;24;Albanija
14;25;Alžirija
14;26;Ameriška Samoa
14;27;Andora
14;28;Angola
14;29;Angvila
14;30;Antarktika
14;31;Antigva in Barbuda
14;32;Argentina
14;33;Armenija
14;34;Aruba
14;35;Avstralija
14;36;Azerbajdžan
14;37;Bahami
14;38;Bahrajn
14;39;Bangladeš
14;40;Barbados
14;41;Belize
14;42;Belorusija
14;43;Benin
14;44;Bermudi
14;45;Bocvana
14;46;Bolgarija
14;47;Bolivija
14;48;Bouvetov otok
14;49;Božični otok
14;50;Brazilija
14;51;Britansko ozemlje Indijskega oceana
14;52;Brunej, Država
14;53;Burkina Faso
14;54;Burundi
14;55;Butan
14;56;Ciper
14;57;Cookovi otoki
14;58;Čad
14;59;Čile
14;60;Deviški otoki (britanski)
14;61;Deviški otoki (ZDA)
14;62;Dominika
14;63;Dominikanska republika
14;64;Džibuti
14;65;Egipt
14;66;Ekvador
14;67;Ekvatorialna Gvineja
14;68;Eritreja
14;69;Estonija
14;70;Etiopija
14;71;Falklandski otoki (Malvini)
14;72;Ferski otoki
14;73;Fidži
14;74;Filipini
14;75;Francoska Gvajana
14;76;Francoska Polinezija
14;77;Francosko južno ozemlje
14;78;Gabon
14;79;Gambija
14;80;Gana
14;81;Gibraltar
14;82;Grenada
14;83;Grenlandija
14;84;Gruzija
14;85;Guadeloupe
14;86;Guam
14;87;Guernsey
14;88;Gvajana
14;89;Gvatemala
14;90;Gvineja
14;91;Gvineja Bissau
14;92;Haiti
14;93;Heardov otok in McDonaldovi otoki
14;94;Honduras
14;95;Hongkong
14;96;Indija
14;97;Indonezija
14;98;Irak
14;99;Iran (Islamska republika)
14;100;Irska
14;101;Islandija
14;102;Izrael
14;103;Jamajka
14;104;Japonska
14;105;Jemen
14;106;Jersey
14;107;Jordanija
14;108;Južna Afrika
14;109;Južna Georgia in otoki Južni Sandwich
14;110;Kajmanski otoki
14;111;Kambodža
14;112;Kamerun
14;113;Kanada
14;114;Katar
14;115;Kazahstan
14;116;Kenija
14;117;Kirgizistan
