"Izbrani podatki po obèinah, Slovenija, letno"

"MERITVE","OBÈINE","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Površina (km2) - 1. januar","SLOVENIJA",20273,20273,20273,20273,20273,20273,20273,20273,20273,20273,20273,20271,20271,20271
"Površina (km2) - 1. januar","Ajdovšèina",245,245,245,245,245,245,245,245,245,245,245,245,245,246
"Površina (km2) - 1. januar","Ankaran/Ancarano",-,-,-,-,-,-,-,8,8,8,8,8,8,8
"Površina (km2) - 1. januar","Apaèe",54,54,54,54,54,54,54,54,54,54,54,54,54,54
"Površina (km2) - 1. januar","Beltinci",62,62,62,62,62,62,62,62,62,62,62,62,62,62
"Površina (km2) - 1. januar","Benedikt",24,24,24,24,24,24,24,24,24,24,24,24,24,24
"Površina (km2) - 1. januar","Bistrica ob Sotli",31,31,31,31,31,31,31,31,31,31,31,31,31,31
"Površina (km2) - 1. januar","Bled",72,72,72,72,72,72,72,72,72,72,72,72,72,72
"Površina (km2) - 1. januar","Bloke",75,75,75,75,75,75,75,75,75,75,75,75,75,75
"Površina (km2) - 1. januar","Bohinj",334,334,334,334,334,334,334,334,334,334,334,334,334,334
"Površina (km2) - 1. januar","Borovnica",42,42,42,42,42,42,42,42,42,42,42,42,42,42
"Površina (km2) - 1. januar","Bovec",367,367,367,367,367,367,367,367,367,367,367,367,367,368
"Površina (km2) - 1. januar","Braslovèe",55,55,55,55,55,55,55,55,55,55,55,55,55,55
"Površina (km2) - 1. januar","Brda",72,72,72,72,72,72,72,72,72,72,72,72,72,72
"Površina (km2) - 1. januar","Brezovica",91,91,91,91,91,91,91,91,91,91,91,91,91,91
"Površina (km2) - 1. januar","Brežice",268,268,268,268,268,268,268,268,268,268,268,268,268,268
"Površina (km2) - 1. januar","Cankova",31,31,31,31,31,31,31,31,31,31,31,31,31,31
"Površina (km2) - 1. januar","Celje",95,95,95,95,95,95,95,95,95,95,95,95,95,95
"Površina (km2) - 1. januar","Cerklje na Gorenjskem",78,78,78,78,78,78,78,78,78,78,78,78,78,78
"Površina (km2) - 1. januar","Cerknica",241,241,241,241,241,241,241,241,241,241,241,241,241,241
"Površina (km2) - 1. januar","Cerkno",132,132,132,132,132,132,132,132,132,132,132,132,132,132
"Površina (km2) - 1. januar","Cerkvenjak",25,25,25,25,25,25,25,25,25,25,25,25,25,25
"Površina (km2) - 1. januar","Cirkulane",32,32,32,32,32,32,32,32,32,32,32,32,32,32
"Površina (km2) - 1. januar","Èrenšovci",34,34,34,34,34,34,34,34,34,34,34,34,34,34
"Površina (km2) - 1. januar","Èrna na Koroškem",156,156,156,156,156,156,156,156,156,156,156,156,156,156
"Površina (km2) - 1. januar","Èrnomelj",340,340,340,340,340,340,340,340,340,340,340,340,340,340
"Površina (km2) - 1. januar","Destrnik",34,34,34,34,34,34,34,34,34,34,34,34,34,34
"Površina (km2) - 1. januar","Divaèa",145,145,145,145,145,145,145,145,145,145,145,145,145,145
"Površina (km2) - 1. januar","Dobje",18,18,18,18,18,18,18,18,18,18,18,18,18,18
"Površina (km2) - 1. januar","Dobrepolje",103,103,103,103,103,103,103,103,103,103,103,103,103,103
"Površina (km2) - 1. januar","Dobrna",32,32,32,32,32,32,32,32,32,32,32,32,32,32
"Površina (km2) - 1. januar","Dobrova - Polhov Gradec",118,118,118,118,118,118,118,118,118,118,118,118,118,118
"Površina (km2) - 1. januar","Dobrovnik/Dobronak",31,31,31,31,31,31,31,31,31,31,31,31,31,31
"Površina (km2) - 1. januar","Dol pri Ljubljani",33,33,33,33,33,33,33,33,33,33,33,33,33,33
"Površina (km2) - 1. januar","Dolenjske Toplice",110,110,110,110,110,110,110,110,110,110,110,110,110,110
"Površina (km2) - 1. januar","Domžale",72,72,72,72,72,72,72,72,72,72,72,72,72,72
"Površina (km2) - 1. januar","Dornava",28,28,28,28,28,28,28,28,28,28,28,28,28,28
"Površina (km2) - 1. januar","Dravograd",105,105,105,105,105,105,105,105,105,105,105,105,105,105
"Površina (km2) - 1. januar","Duplek",40,40,40,40,40,40,40,40,40,40,40,40,40,40
"Površina (km2) - 1. januar","Gorenja vas - Poljane",153,153,153,153,153,153,153,153,153,153,153,153,153,153
"Površina (km2) - 1. januar","Gorišnica",29,29,29,29,29,29,29,29,29,29,29,29,29,29
"Površina (km2) - 1. januar","Gorje",116,116,116,116,116,116,116,116,116,116,116,116,116,116
